1	1	249.75	604.15	404.48
1	2	227.56	527.36	414.52
1	3	368.18	711.87	490.14
2	1	615.42	548	359.91
2	2	756.11	59.78	363.74
2	3	481.54	464.04	415.98
3	1	610.4	529.91	389.65
3	2	534.73	436.4	439.23
3	3	488.87	277.88	414.9
4	1	587.84	186.9	399.76
4	2	627.27	478.44	470.98
4	3	594.91	454.6	409.16
5	1	358.48	480.34	530.92
5	2	341.18	238.63	414.71
5	3	409.65	537.39	566.61
6	1	530.4	430.57	309.84
6	2	644.79	352.27	311.07
6	3	619.42	256.4	287.13
7	1	592.22	563.79	298.57
7	2	588.89	862.62	502.44
7	3	627.72	521.22	400.76
8	1	605.05	420.44	303.72
8	2	620.72	519.95	303.81
8	3	711.55	375.29	274.21
9	1	493.93	425.79	361.44
9	2	457.53	450.88	335.19
9	3	366.9	264.96	434.37
10	1	479.98	611.18	302.2
10	2	671.5	372.21	270.94
10	3	471.44	284.37	300.48
