1	1	249.75	604.15
1	2	227.56	527.36
1	3	-9	711.87
2	1	615.42	548
2	2	756.11	59.78
2	3	481.54	-9
3	1	610.4	529.91
3	2	534.73	436.4
3	3	488.87	277.88
4	1	587.84	186.9
4	2	627.27	478.44
4	3	594.91	454.6
5	1	358.48	480.34
5	2	341.18	238.63
5	3	409.65	537.39
6	1	530.4	430.57
6	2	-9	352.27
6	3	619.42	256.4
7	1	592.22	563.79
7	2	588.89	862.62
7	3	627.72	521.22
8	1	605.05	420.44
8	2	620.72	519.95
8	3	711.55	375.29
9	1	493.93	425.79
9	2	457.53	450.88
9	3	366.9	264.96
10	1	479.98	611.18
10	2	671.5	372.21
10	3	471.44	284.37
