 1   1   14.9533 
 1   2   13.2867 
 2   1   9.5467 
 2   2   10.9867 
 3   1   9.88 
 3   2   11.6133 
 4   1   22.88 
 4   2   9.92 
 5   1   7.576 
 5   2   14.1667 
 6   1   16.3933 
 6   2   16.16 
 7   1   13.7933 
 7   2   8.4333 
 8   1   11.9 
 8   2   15.0667 
 9   1   11.06 
 9   2   12.3 
 10  1   15.4667 
 10  2   16.8133 
 11  1   8.1067 
 11  2   10.7933 
 12  1   8.9873 
 12  2   12.84 
 13  1   13.32 
 13  2   13.16 
 14  1   13.2067 
 14  2   18.3 
 15  1   11.1667 
 15  2   4.9933 
 16  1   8.8467 
 16  2   10.8933 
 17  1   11.2733 
 17  2   14.4867 
 18  1   14.86 
 18  2   14.2133 
 19  1   8.4733 
 19  2   14.4467 
 20  1   19.7267 
 20  2   10.05 
