1	1	348.49	281.31
1	2	324.32	210.29
1	3	331.84	297.12
2	1	376.66	593.01
2	2	351.99	523.45
2	3	317.41	447.33
3	1	385.01	253.22
3	2	400.99	241.25
3	3	367	77.56
4	1	556.27	55.25
4	2	501.1	312.92
4	3	429.03	268.36
5	1	273.63	321.65
5	2	344.45	370.12
5	3	278.46	417.95
6	1	245.79	552.34
6	2	226.46	437.38
6	3	294.35	714.34
7	1	260.88	508.33
7	2	260.02	351.95
7	3	256.94	432.98
8	1	265.78	549.18
8	2	321.96	451.01
8	3	227	459.69
9	1	300.38	29.6
9	2	286.33	239.92
9	3	285.1	14.92
10	1	336.88	700.12
10	2	302.4	461.48
10	3	383.68	851.41
